repo,status
KDE/kcalendarcore,Error
KDE/kio-fuse,Pass
KDE/kquickcharts,Pass
KDE/qrca,Error
KDE/keysmith,Error
KDE/subtitlecomposer,Pass
KDE/mark,Pass
KDE/grantlee,Error
KDE/kid3,Error
KDE/kongress,Pass
KDE/plasma-bigscreen,Pass
KDE/kpeoplesink,Error
KDE/basket,Pass
KDE/plasma-dialer,Pass
KDE/pvfviewer,Pass
KDE/trainer,Error
KDE/kcgroups,Error
KDE/alligator,Pass
KDE/kclock,Pass
KDE/liblatte,Pass
KDE/plasma-wayland-protocols,Pass
KDE/kwayland-server,Error
KDE/kweather,Error
KDE/mycroft-plasmoid-mobile,Pass
KDE/qmlkonsole,Pass
KDE/git-lab,Error
KDE/homebrew-kde,Error
KDE/websites-docs-krita-org,Error
